Keep;Column;Value
False;Postcode_district;BR1
False;Postcode_district;BR2
False;Postcode_district;BR3
False;Postcode_district;BR4
False;Postcode_district;BR5
False;Postcode_district;BR6
False;Postcode_district;BR7
False;Postcode_district;BR8
False;Postcode_district;CM13
False;Postcode_district;CM14
False;Postcode_district;CR0
False;Postcode_district;CR2
False;Postcode_district;CR3
False;Postcode_district;CR4
False;Postcode_district;CR5
False;Postcode_district;CR6
False;Postcode_district;CR7
False;Postcode_district;CR8
False;Postcode_district;CR9
False;Postcode_district;DA14
False;Postcode_district;DA15
False;Postcode_district;DA16
False;Postcode_district;DA17
False;Postcode_district;DA18
False;Postcode_district;DA1
False;Postcode_district;DA5
False;Postcode_district;DA6
False;Postcode_district;DA7
False;Postcode_district;DA8
False;Postcode_district;E10
False;Postcode_district;E11
False;Postcode_district;E12
False;Postcode_district;E13
False;Postcode_district;E14
False;Postcode_district;E15
False;Postcode_district;E16
False;Postcode_district;E17
False;Postcode_district;E18
False;Postcode_district;E1W
False;Postcode_district;E1
False;Postcode_district;E20
False;Postcode_district;E22
False;Postcode_district;E2
False;Postcode_district;E3
False;Postcode_district;E4
False;Postcode_district;E5
False;Postcode_district;E6
False;Postcode_district;E7
False;Postcode_district;E8
False;Postcode_district;E9
False;Postcode_district;EC1A
False;Postcode_district;EC1M
False;Postcode_district;EC1N
False;Postcode_district;EC1R
False;Postcode_district;EC1V
False;Postcode_district;EC1Y
False;Postcode_district;EC2A
False;Postcode_district;EC2M
False;Postcode_district;EC2N
False;Postcode_district;EC2P
False;Postcode_district;EC2R
False;Postcode_district;EC2V
False;Postcode_district;EC2Y
False;Postcode_district;EC3A
False;Postcode_district;EC3M
False;Postcode_district;EC3N
False;Postcode_district;EC3P
False;Postcode_district;EC3R
False;Postcode_district;EC3V
False;Postcode_district;EC4A
False;Postcode_district;EC4M
False;Postcode_district;EC4N
False;Postcode_district;EC4R
False;Postcode_district;EC4V
False;Postcode_district;EC4Y
False;Postcode_district;EN1
False;Postcode_district;EN2
False;Postcode_district;EN3
False;Postcode_district;EN4
False;Postcode_district;EN5
False;Postcode_district;EN6
False;Postcode_district;EN7
False;Postcode_district;EN8
False;Postcode_district;EN9
False;Postcode_district;HA0
False;Postcode_district;HA1
False;Postcode_district;HA2
False;Postcode_district;HA3
False;Postcode_district;HA4
False;Postcode_district;HA5
False;Postcode_district;HA6
False;Postcode_district;HA7
False;Postcode_district;HA8
False;Postcode_district;HA9
False;Postcode_district;IG11
False;Postcode_district;IG1
False;Postcode_district;IG2
False;Postcode_district;IG3
False;Postcode_district;IG4
False;Postcode_district;IG5
False;Postcode_district;IG6
False;Postcode_district;IG7
False;Postcode_district;IG8
False;Postcode_district;IG9
False;Postcode_district;KT17
False;Postcode_district;KT18
False;Postcode_district;KT19
False;Postcode_district;KT1
False;Postcode_district;KT22
False;Postcode_district;KT2
False;Postcode_district;KT3
False;Postcode_district;KT4
False;Postcode_district;KT5
False;Postcode_district;KT6
False;Postcode_district;KT8
False;Postcode_district;KT9
False;Postcode_district;N10
False;Postcode_district;N11
False;Postcode_district;N12
False;Postcode_district;N13
False;Postcode_district;N14
False;Postcode_district;N15
False;Postcode_district;N16
False;Postcode_district;N17
False;Postcode_district;N18
False;Postcode_district;N19
False;Postcode_district;N1C
False;Postcode_district;N1
False;Postcode_district;N20
False;Postcode_district;N21
False;Postcode_district;N22
False;Postcode_district;N2
False;Postcode_district;N3
False;Postcode_district;N4
False;Postcode_district;N5
False;Postcode_district;N6
False;Postcode_district;N7
False;Postcode_district;N8
False;Postcode_district;N9
False;Postcode_district;NW10
False;Postcode_district;NW11
False;Postcode_district;NW1
False;Postcode_district;NW2
False;Postcode_district;NW3
False;Postcode_district;NW4
False;Postcode_district;NW5
False;Postcode_district;NW6
False;Postcode_district;NW7
False;Postcode_district;NW8
False;Postcode_district;NW9
False;Postcode_district;OX9
False;Postcode_district;RM10
False;Postcode_district;RM11
False;Postcode_district;RM12
False;Postcode_district;RM13
False;Postcode_district;RM14
False;Postcode_district;RM15
False;Postcode_district;RM19
False;Postcode_district;RM1
False;Postcode_district;RM2
False;Postcode_district;RM3
False;Postcode_district;RM4
False;Postcode_district;RM5
False;Postcode_district;RM6
False;Postcode_district;RM7
False;Postcode_district;RM8
False;Postcode_district;RM9
False;Postcode_district;SE10
False;Postcode_district;SE11
False;Postcode_district;SE12
False;Postcode_district;SE13
False;Postcode_district;SE14
False;Postcode_district;SE15
False;Postcode_district;SE16
False;Postcode_district;SE17
False;Postcode_district;SE18
False;Postcode_district;SE19
False;Postcode_district;SE1P
False;Postcode_district;SE1
False;Postcode_district;SE20
False;Postcode_district;SE21
False;Postcode_district;SE22
False;Postcode_district;SE23
False;Postcode_district;SE24
False;Postcode_district;SE25
False;Postcode_district;SE26
False;Postcode_district;SE27
False;Postcode_district;SE28
False;Postcode_district;SE2
False;Postcode_district;SE3
False;Postcode_district;SE4
False;Postcode_district;SE5
False;Postcode_district;SE6
False;Postcode_district;SE7
False;Postcode_district;SE8
False;Postcode_district;SE9
False;Postcode_district;SL0
False;Postcode_district;SL3
False;Postcode_district;SM1
False;Postcode_district;SM2
False;Postcode_district;SM3
False;Postcode_district;SM4
False;Postcode_district;SM5
False;Postcode_district;SM6
False;Postcode_district;SM7
False;Postcode_district;SW10
False;Postcode_district;SW11
False;Postcode_district;SW12
False;Postcode_district;SW13
False;Postcode_district;SW14
False;Postcode_district;SW15
False;Postcode_district;SW16
False;Postcode_district;SW17
False;Postcode_district;SW18
False;Postcode_district;SW19
False;Postcode_district;SW1A
False;Postcode_district;SW1E
False;Postcode_district;SW1H
False;Postcode_district;SW1P
False;Postcode_district;SW1V
False;Postcode_district;SW1W
False;Postcode_district;SW1X
False;Postcode_district;SW1Y
False;Postcode_district;SW20
False;Postcode_district;SW2
False;Postcode_district;SW3
False;Postcode_district;SW4
False;Postcode_district;SW5
False;Postcode_district;SW6
False;Postcode_district;SW7
False;Postcode_district;SW8
False;Postcode_district;SW9
False;Postcode_district;TN14
